Id,Index,SubIndex,Access,Type,Length
1,1000,00,Read,UNSIGNED32,32
2,1001,00,Read,UNSIGNED8,8
3,1003,00,Read/Write,UNSIGNED8,8
4,1005,00,Read/Write,UNSIGNED32,32
5,1006,00,Read/Write,UNSIGNED32,32
6,1007,00,Read/Write,UNSIGNED32,32
7,1008,00,Read,VISIBLE STRING,0
8,1009,00,Read,VISIBLE_STRING,0
9,100A,00,Read,VISIBLE_STRING,0
10,100C,00,Read/Write,UNSIGNED16,16
11,100D,00,Read/Write,UNSIGNED8,8
12,1010,00,Read,UNSIGNED8,8
13,1010,01,Read/Write,UNSIGNED32,32
14,1010,02,Read/Write,UNSIGNED32,32
15,1010,03,Read/Write,UNSIGNED32,32
16,1010,04,Read/Write,UNSIGNED32,32
17,1010,05,Read/Write,UNSIGNED32,32
18,1010,06,Read/Write,UNSIGNED32,32
19,1010,07,Read/Write,UNSIGNED32,32
20,1010,08,Read/Write,UNSIGNED32,32
21,1010,09,Read/Write,UNSIGNED32,32
22,1010,0A,Read/Write,UNSIGNED32,32
23,1010,0B,Read/Write,UNSIGNED32,32
24,1010,0C,Read/Write,UNSIGNED32,32
25,1010,0D,Read/Write,UNSIGNED32,32
26,1011,00,Read,UNSIGNED8,8
27,1011,01,Read/Write,UNSIGNED32,32
28,1011,02,Read/Write,UNSIGNED32,32
29,1011,03,Read/Write,UNSIGNED32,32
30,1011,04,Read/Write,UNSIGNED32,32
31,1011,05,Read/Write,UNSIGNED32,32
32,1011,06,Read/Write,UNSIGNED32,32
33,1011,07,Read/Write,UNSIGNED32,32
34,1011,08,Read/Write,UNSIGNED32,32
35,1011,09,Read/Write,UNSIGNED32,32
36,1011,0A,Read/Write,UNSIGNED32,32
37,1011,0B,Read/Write,UNSIGNED32,32
38,1011,0C,Read/Write,UNSIGNED32,32
39,1011,0D,Read/Write,UNSIGNED32,32
40,1014,00,Read/Write,UNSIGNED32,32
41,1016,00,Read,UNSIGNED8,8
42,1016,01,Read/Write,UNSIGNED32,32
43,1017,00,Read/Write,UNSIGNED16,16
44,1018,00,Read,UNSIGNED8,8
45,1018,01,Read,UNSIGNED32,32
46,1018,02,Read,UNSIGNED32,32
47,1018,03,Read,UNSIGNED32,32
48,1018,04,Read,UNSIGNED32,32
49,1019,00,Read/Write,UNSIGNED8,8
50,1020,00,Read,UNSIGNED8,8
51,1020,01,Read/Write,UNSIGNED32,32
52,1020,02,Read/Write,UNSIGNED32,32
53,1029,00,Read,UNSIGNED8,8
54,1029,01,Read/Write,UNSIGNED8,8
55,1029,02,Read/Write,UNSIGNED8,8
56,1400,00,Read,UNSIGNED8,8
57,1400,01,Read/Write,UNSIGNED32,32
58,1400,02,Read/Write,UNSIGNED8,8
59,1401,00,Read,UNSIGNED8,8
60,1401,01,Read/Write,UNSIGNED32,32
61,1401,02,Read/Write,UNSIGNED8,8
62,1402,00,Read,UNSIGNED8,8
63,1402,01,Read/Write,UNSIGNED32,32
64,1402,02,Read/Write,UNSIGNED8,8
65,1403,00,Read,UNSIGNED8,8
66,1403,01,Read/Write,UNSIGNED32,32
67,1403,02,Read/Write,UNSIGNED8,8
68,1404,00,Read,UNSIGNED8,8
69,1404,01,Read/Write,UNSIGNED32,32
70,1404,02,Read/Write,UNSIGNED8,8
71,1405,00,Read,UNSIGNED8,8
72,1405,01,Read/Write,UNSIGNED32,32
73,1405,02,Read/Write,UNSIGNED8,8
74,1406,00,Read,UNSIGNED8,8
75,1406,01,Read/Write,UNSIGNED32,32
76,1406,02,Read/Write,UNSIGNED8,8
77,1407,00,Read,UNSIGNED8,8
78,1407,01,Read/Write,UNSIGNED32,32
79,1407,02,Read/Write,UNSIGNED8,8
80,1600,00,Read/Write,UNSIGNED8,8
81,1600,01,Read/Write,UNSIGNED32,32
82,1600,02,Read/Write,UNSIGNED32,32
83,1600,03,Read/Write,UNSIGNED32,32
84,1600,04,Read/Write,UNSIGNED32,32
85,1600,05,Read/Write,UNSIGNED32,32
86,1600,06,Read/Write,UNSIGNED32,32
87,1600,07,Read/Write,UNSIGNED32,32
88,1600,08,Read/Write,UNSIGNED32,32
89,1601,00,Read/Write,UNSIGNED8,8
90,1601,01,Read/Write,UNSIGNED32,32
91,1601,02,Read/Write,UNSIGNED32,32
92,1601,03,Read/Write,UNSIGNED32,32
93,1601,04,Read/Write,UNSIGNED32,32
94,1601,05,Read/Write,UNSIGNED32,32
95,1601,06,Read/Write,UNSIGNED32,32
96,1601,07,Read/Write,UNSIGNED32,32
97,1601,08,Read/Write,UNSIGNED32,32
98,1602,00,Read/Write,UNSIGNED8,8
99,1602,01,Read/Write,UNSIGNED32,32
100,1602,02,Read/Write,UNSIGNED32,32
101,1602,03,Read/Write,UNSIGNED32,32
102,1602,04,Read/Write,UNSIGNED32,32
103,1602,05,Read/Write,UNSIGNED32,32
104,1602,06,Read/Write,UNSIGNED32,32
105,1602,07,Read/Write,UNSIGNED32,32
106,1602,08,Read/Write,UNSIGNED32,32
107,1603,00,Read/Write,UNSIGNED8,8
108,1603,01,Read/Write,UNSIGNED32,32
109,1603,02,Read/Write,UNSIGNED32,32
110,1603,03,Read/Write,UNSIGNED32,32
111,1603,04,Read/Write,UNSIGNED32,32
112,1603,05,Read/Write,UNSIGNED32,32
113,1603,06,Read/Write,UNSIGNED32,32
114,1603,07,Read/Write,UNSIGNED32,32
115,1603,08,Read/Write,UNSIGNED32,32
116,1604,00,Read/Write,UNSIGNED8,8
117,1604,01,Read/Write,UNSIGNED32,32
118,1604,02,Read/Write,UNSIGNED32,32
119,1604,03,Read/Write,UNSIGNED32,32
120,1604,04,Read/Write,UNSIGNED32,32
121,1604,05,Read/Write,UNSIGNED32,32
122,1604,06,Read/Write,UNSIGNED32,32
123,1604,07,Read/Write,UNSIGNED32,32
124,1604,08,Read/Write,UNSIGNED32,32
125,1605,00,Read/Write,UNSIGNED8,8
126,1605,01,Read/Write,UNSIGNED32,32
127,1605,02,Read/Write,UNSIGNED32,32
128,1605,03,Read/Write,UNSIGNED32,32
129,1605,04,Read/Write,UNSIGNED32,32
130,1605,05,Read/Write,UNSIGNED32,32
131,1605,06,Read/Write,UNSIGNED32,32
132,1605,07,Read/Write,UNSIGNED32,32
133,1605,08,Read/Write,UNSIGNED32,32
134,1606,00,Read/Write,UNSIGNED8,8
135,1606,01,Read/Write,UNSIGNED32,32
136,1606,02,Read/Write,UNSIGNED32,32
137,1606,03,Read/Write,UNSIGNED32,32
138,1606,04,Read/Write,UNSIGNED32,32
139,1606,05,Read/Write,UNSIGNED32,32
